filename,category,title
365MD8214102C853241B98E06B2123AB42657.PDF,NBFC,"Reserve Bank of India (Housing Finance Companies) Directions, 2025"
366MDF8A3AEF00BF24FFC8FA8F1B096F8E054.PDF,NBFC,"Reserve Bank of India (Standalone Primary Dealers) Directions, 2025"
367MD6F29605A9F984829B1DDFA72799197BB.PDF,NBFC,"Reserve Bank of India (Core Investment Companies) Directions, 2025"
368MDA3A72C813679452CB0A291E6B300DB59.PDF,NBFC,"Aggregator) Directions, 2025"
370MD60843CF99DE6468CA026BF367311796E.PDF,NBFC,"Platform) Directions, 2025"
371MD93444E1CFB2749C6A9F8F0182794522B.pdf,NBFC,"Institution) Directions, 2025"
372MD72894C1BCD6646C582BDF57824ED849B.pdf,NBFC,"Reserve Bank of India (Non-Operative Financial Holding Company) Directions,"
373MD7F3656C99F764E2F9CE1BC4A1337861F.pdf,NBFC,"Directions, 2025"
380MD.PDF,Commercial_Banks,"Authorisation) Directions, 2025"
387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,Commercial_Banks,"of Dividend and Remittances of Profits) Directions, 2026"
397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,Commercial_Banks,"Standardised Approach) Directions, 2026 (Effective from April 1, 2027)"
MD39857992A3DBE7946619F0F76DF81E472CF.PDF,Commercial_Banks,"and Income Recognition) Directions, 2026"
PSL_2020_MD.PDF,Commercial_Banks,Master Direction - Priority Sector Lending (PSL) – Targets and Classification (2020)
PSL_2025_MD.PDF,Commercial_Banks,"Master Directions - Reserve Bank of India (Priority Sector Lending – Targets and Classification) Directions, 2025"
